epoch,loss,accuracy,val_loss,val_accuracy
0,2.300713539123535,0.11718161404132843,2.2882556915283203,0.12814070284366608
1,2.263188600540161,0.15234865248203278,2.243013620376587,0.1678391993045807
2,2.232058525085449,0.1700577735900879,2.1807169914245605,0.18542712926864624
3,2.1915132999420166,0.18902285397052765,2.1682684421539307,0.19195979833602905
4,2.143152952194214,0.21389098465442657,2.1680538654327393,0.20904523134231567
5,2.1183676719665527,0.22494348883628845,2.1072351932525635,0.21256281435489655
6,2.0934855937957764,0.2367495596408844,2.0964534282684326,0.24221105873584747
7,2.072972297668457,0.24466215074062347,2.0859553813934326,0.22914573550224304
8,2.047546863555908,0.2538307011127472,2.0510752201080322,0.23969849944114685
9,2.023719549179077,0.25998494029045105,2.062044143676758,0.2386934608221054
10,1.9974370002746582,0.26940467953681946,2.030160665512085,0.2597990036010742
11,1.9718097448349,0.2840994596481323,2.0544016361236572,0.25226131081581116
12,1.9554691314697266,0.29728710651397705,2.0826399326324463,0.25226131081581116
13,1.9322054386138916,0.30557647347450256,2.0190587043762207,0.26834172010421753
14,1.9210931062698364,0.3034413456916809,1.992946982383728,0.26834172010421753
15,1.9038238525390625,0.31750816106796265,2.0336339473724365,0.26030150055885315
16,1.8853157758712769,0.32441598176956177,2.0314412117004395,0.26633167266845703
17,1.8628205060958862,0.3305702209472656,2.0069165229797363,0.28341707587242126
